"div","yr","pdsi","mon"
6,2012,-3.8,4
6,2013,-2.61,4
6,2014,-3.46,4
6,2015,-2.08,4
6,2016,-2.6,4
6,2017,-2.53,4
6,2018,-5.07,4
6,2019,-0.16,4
6,2020,2.35,4
7,1985,5.88,4
7,1986,2.66,4
7,1987,2.05,4
7,1988,0.73,4
7,1989,-2.47,4
7,1990,-3.25,4
7,1991,3.08,4
7,1992,4.32,4
7,1993,6.42,4
7,1994,-1.18,4
7,1995,3.16,4
7,1996,-3.74,4
7,1997,-2.45,4
7,1998,3.21,4
7,1999,-2.9,4
7,2000,-4.17,4
7,2001,3.12,4
7,2002,-3.65,4
7,2003,-2.84,4
7,2004,-1.78,4
7,2005,1.74,4
7,2006,-4.09,4
7,2007,-2.32,4
7,2008,-2.22,4
7,2009,-2.75,4
7,2010,2.05,4
7,2011,-3.66,4
7,2012,-3.56,4
7,2013,-3.46,4
7,2014,-3.94,4
7,2015,-1.18,4
7,2016,-1.95,4
7,2017,-2.43,4
7,2018,-4.69,4
7,2019,1.66,4
7,2020,2.62,4
1,1985,2.95,5
1,1986,-1.47,5
1,1987,-1.03,5
1,1988,1.81,5
1,1989,-3.16,5
1,1990,-3,5
1,1991,1.06,5
1,1992,3.69,5
1,1993,6.08,5
1,1994,-2.11,5
1,1995,3.44,5
1,1996,-4.49,5
1,1997,-4.41,5
1,1998,2.57,5
1,1999,-2.35,5
1,2000,-4.47,5
1,2001,-1.57,5
1,2002,-5.21,5
1,2003,-2.15,5
1,2004,-2.9,5
1,2005,6.93,5
1,2006,-3.05,5
1,2007,-5.46,5
1,2008,-2.14,5
1,2009,-2.17,5
1,2010,2.11,5
1,2011,0.3,5
1,2012,-2.97,5
1,2013,-3.07,5
1,2014,-4.49,5
1,2015,-2.21,5
1,2016,-2.01,5
1,2017,1.17,5
1,2018,-3.96,5
1,2019,3.22,5
1,2020,3.35,5
3,1985,2.78,5
3,1986,1.41,5
3,1987,-0.23,5
3,1988,2.08,5
3,1989,-3.25,5
3,1990,-2.81,5
3,1991,1.73,5
3,1992,3.24,5
3,1993,5.83,5
3,1994,-1.52,5
3,1995,2.48,5
3,1996,-4.75,5
3,1997,-3.3,5
3,1998,2.65,5
3,1999,-2.37,5
3,2000,-3.55,5
3,2001,1.72,5
3,2002,-4.79,5
3,2003,-2.69,5
3,2004,-3.14,5
3,2005,5.33,5
3,2006,-4.04,5
3,2007,-5.19,5
3,2008,-1.6,5
3,2009,-1.42,5
3,2010,1.8,5
